vaccine_pipeline_trials,,,,,,,,
═══ CANCER VACCINE PIPELINE — VERIFIED TRIALS ═══,,,,,,,,
Generated: 2026-08-23 | Source: ClinicalTrials.gov via Beast trials.sqlite,,ClinicalTrials.gov via Jori (www.jori.health) ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NCT_ID,Company,Trial_Title,Phase,Vaccine_Product,Cancer_Type,Status,Start_Date,Verification_Notes
NCT06411691,Agenus,Pooled Mutant KRAS-Targeted Long Peptide Vaccine Combined With Balstilimab and Botensilimab for Patients With Stage IV MMR-p Colorectal Cancer and Pancreatic Ductal Adenocarcinoma,Phase 1,KRAS peptide vaccine + Poly-ICLC,colorectal,Recruiting,2025-06-24,KRAS-targeted peptide vaccines with proprietary adjuvant + balstilimab/botensilimab
NCT06782932,Agenus,A Pilot Study Comparing Neoadjuvant and Adjuvant GVAX vs a Mutated KRAS Peptide Vaccine Given With Anti-PD-1 and Anti-CD137 for the Treatment of Surgically Resectable Pancreatic Adenocarcinoma,Phase 1/2,GVAX + mKRASvax (KRAS neoantigen vaccine),pancreatic,Recruiting,2025-05-27,KRAS-targeted peptide vaccines with proprietary adjuvant + balstilimab/botensilimab
NCT03219450,BioNTech,"A Pilot Study of a Personalized Neoantigen Cancer Vaccine With and Without Low-Dose Cyclophosphamide or Pembrolizumab in Treatment Naïve, Asymptomatic Patients With IGHV Unmutated Chronic Lymphocytic Leukemia.",Phase 1,NeoVax (personalized neoantigen peptide vaccine),leukemia,Recruiting,2021-08-18,mRNA vaccine platform owner; FixVac (BNT116) + individualized autogene cevumeran
NCT05142189,BioNTech,"LuCa-MERIT-1: First-in-human, Open Label, Phase I Dose Confirmation Trial Evaluating the Safety, Tolerability and Preliminary Efficacy of BNT116 Alone and in Combinations in Patients With Advanced Non-small Cell Lung Cancer",Phase 1,BNT116 (FixVac NSCLC),lung,Recruiting,2022-06-17,mRNA vaccine platform owner; FixVac (BNT116) + individualized autogene cevumeran
NCT05557591,BioNTech,A Phase 2 Study of Cemiplimab (Anti-PD-1 Antibody) in Combination With BNT116 (FixVac Lung) Versus Cemiplimab Monotherapy in First-Line Treatment of Patients With Advanced Non-Small Cell Lung Cancer (NSCLC) With Tumors Expressing PD-L1 ≥50%,Phase 2,BNT116 (FixVac NSCLC),lung,"Active, not recruiting",2023-04-21,mRNA vaccine platform owner; FixVac (BNT116) + individualized autogene cevumeran
NCT05968326,BioNTech,"A Phase II, Open-Label, Multicenter, Randomized Study of the Efficacy and Safety of Adjuvant Autogene Cevumeran Plus Atezolizumab and mFOLFIRINOX Versus mFOLFIRINOX Alone in Patients With Resected Pancreatic Ductal Adenocarcinoma",Phase 2,BNT122 / autogene cevumeran,pancreatic,Recruiting,2023-10-18,mRNA vaccine platform owner; FixVac (BNT116) + individualized autogene cevumeran
NCT04046445,Boehringer,"An Open-Label, Multicenter, Non-Randomized, Dose-Confirmation and Cohort-Expansion Phase 1b Study to Evaluate the Safety, Tolerability, and Anti-Tumor Activity of ATP128, VSV-GP128 and BI 754091, in Patients With Stage IV Colorectal Cancer",Phase 1,ATP128 (KISIMA platform),colorectal,"Active, not recruiting",2019-07-22,KISIMA prime-boost vaccine platform (acquired via Amal Therapeutics)
NCT05846516,Boehringer,"A Phase 1b Study to Evaluate the Safety, Tolerability and Preliminary Efficacy of a Heterologous Prime Boost Vaccination (ATP150/ATP152/ATP162, VSV-GP154) and Ezabenlimab (BI 754091) in Patients With Pancreatic Ductal Adenocarcinoma.",Phase 1,KISIMA-based vaccine (prime-boost platform),pancreatic,"Active, not recruiting",2023-05-11,KISIMA prime-boost vaccine platform (acquired via Amal Therapeutics)
NCT02768363,Candel,A Randomized Controlled Trial Of AdV-tk + Valacyclovir Administered During Active Surveillance For Newly Diagnosed Prostate Cancer,Phase 2,ProstAtak / CAN-2409 (aglatimagene besadenovec),prostate,"Active, not recruiting",2016-05,ProstAtak (CAN-2409) oncolytic viral immunotherapy developer
NCT01436968,Candel,A Randomized Controlled Trial of ProstAtak® as Adjuvant to Up-front Radiation Therapy For Localized Prostate Cancer,Phase 3,ProstAtak / CAN-2409 (aglatimagene besadenovec),prostate,"Active, not recruiting",2011-09,ProstAtak (CAN-2409) oncolytic viral immunotherapy developer
NCT04669171,Enterome,"A Global Multicenter Phase 1/2 Trial of EO2463, a Novel Microbial-Derived Peptide Therapeutic Vaccine, as Monotherapy, and in Combination With Lenalidomide and Rituximab, for Treatment of Patients With Indolent Non-Hodgkin's Lymphoma",Phase 1/2,EO2463 (microbiome-derived peptide vaccine),lymphoma,Recruiting,2021-07-05,Microbiome-derived peptide vaccine platform (EO2463)
NCT04977024,GeoVax,"A Phase 2 Randomized, Multi-center Study of GEO-CMO4S1 (SARS-CoV-2 Vaccine) Versus mRNA SARS-CoV-2 Vaccine in Patients Post Cellular Therapy for Hematological Malignancies",Phase 2,GEO-CM04S1 (MVA-SARS-CoV-2 vaccine in blood cancer),lymphoma,"Active, not recruiting",2021-09-27,MVA-based vaccine platform; GEO-CM04S1 in blood cancer patients
NCT06946225,Immatics,"A First-in-human, Open-label Trial to Evaluate the Combination of ACTengine® IMA203 With mRNA-4203 in Previously Treated, Unresectable or Metastatic Cutaneous Melanoma or Synovial Sarcoma Patients (ACTengine® IMA203-102)",Phase 1,mRNA-4203 (Moderna mRNA vaccine),melanoma,Recruiting,2025-07-25,Collaborator on mRNA-4203 (with Moderna)
NCT05743595,Incyte,"A Pilot Study to Assess the Safety and Immunogenicity of a Neoantigen-based Personalized DNA Vaccine With Retifanlimab PD-1 Blockade Therapy in Patients With Newly Diagnosed, Unmethylated Glioblastoma",Phase 1,Personalized neoantigen DNA vaccine,melanoma,"Active, not recruiting",2023-10-27,Personalized neoantigen DNA vaccine program with retifanlimab
NCT02772003,Inovio,Phase I Trial of a Therapeutic DNA Vaccine for Chronic Hepatitis C Virus (HCV) Infection,Phase 1,INO-8000 (HCV DNA vaccine in HCC risk),hepatocellular,"Active, not recruiting",2016-06-06,DNA vaccine platform; INO-8000 (HCV/HCC)
NCT03219450,Merck,"A Pilot Study of a Personalized Neoantigen Cancer Vaccine With and Without Low-Dose Cyclophosphamide or Pembrolizumab in Treatment Naïve, Asymptomatic Patients With IGHV Unmutated Chronic Lymphocytic Leukemia.",Phase 1,NeoVax (personalized neoantigen peptide vaccine),leukemia,Recruiting,2021-08-18,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT03362060,Merck,A Phase 1b Study of Safety and Immune Response to PVX-410 Vaccine Alone and in Combination With Pembrolizumab in HLA-A2+ Patients With Metastatic Triple Negative Breast Cancer (TNBC),Phase 1,PVX-410 (multi-peptide vaccine),breast,"Active, not recruiting",2017-12-12,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT04041310,Merck,"A Phase I/II, Multicenter, Open-Label Study of Nous-209 Genetic Vaccine for the Treatment of Microsatellite Unstable Solid Tumors",Phase 1/2,NOUS-209 (frameshift neoantigen vaccine),gastric,"Active, not recruiting",2019-10-21,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT06305767,Merck,A Phase 1/2 Study of V940 Plus Pembrolizumab With or Without Enfortumab Vedotin in Muscle-Invasive Urothelial Carcinoma (MIUC) (INTerpath-005),Phase 1/2,V940 / mRNA-4157 (intismeran autogene),hepatocellular,"Active, not recruiting",2024-03-28,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT03029403,Merck,"A Phase 2 Study of Pembrolizumab (MK-3475), DPX-Survivac Vaccine and Low Dose of Cyclophosphamide Combination in Patients With Advanced Ovarian, Primary Peritoneal or Fallopian Tube Cancer",Phase 2,DPX-Survivac (survivin peptide vaccine),lung,"Active, not recruiting",2018-02-12,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT03804944,Merck,Converting HR+ Breast Cancer Into an Individualized Vaccine,Phase 2,CDX-301 + pembro (in situ vaccine approach),breast,Recruiting,2020-03-17,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT03897881,Merck,A Phase 2 Randomized Study of Adjuvant Immunotherapy With the Personalized Cancer Vaccine mRNA-4157 and Pembrolizumab Versus Pembrolizumab Alone After Complete Resection of High-Risk Melanoma (KEYNOTE- 942),Phase 2,V940 / mRNA-4157 (intismeran autogene),melanoma,"Active, not recruiting",2019-07-18,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
NCT04090528,Merck,"Phase II Trial of pTVG-HP DNA Vaccine With or Without pTVG-AR DNA Vaccine and Pembrolizumab in Patients With Castration-Resistant, Metastatic Prostate Cancer",Phase 2,"pTVG-HP / pTVG-AR (DNA vaccine, prostate antigens)",prostate,"Active, not recruiting",2019-10-21,Merck co-develops V940 with Moderna; also sponsors pembro combo trials with partner vaccines
